"asset_id","display_name","domain","source_family","supplied_today","role","role_verdict","lifecycle_status","runtime_status","source_file_count","best_authority_relative_path","manifest_relative_path","audit_relative_path","unreal_paths","outstanding_action"
"LB_BODY_WELD_FRAMING_FIXTURE_INTAKE_V001","Cairnwell 2040 body-weld framing fixture","WeldShop","Meshy Precision Assembly Frame 08120727-29","True","empty BIW framing and geometry welding fixture","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","NOT_IMPORTED","3","SourceAssets/Candidate/WeldShop/BodyWeldFramingFixture_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Precision_Assembly_Fr_0812072950_texture.blend","SourceAssets/Candidate/WeldShop/BodyWeldFramingFixture_Intake_v001/MANIFEST_v001.json","SourceAssets/Candidate/WeldShop/BodyWeldFramingFixture_Intake_v001/Audit/BODY_WELD_FRAMING_FIXTURE_AUDIT_v001.md","","Modular optimized rebuild with approved scale, towers/clamps/slides/pivots, collision and placement envelope."
"LB_BODY_WELD_MESHY_TEXT_PREVIEW_V001","Rejected Meshy body-weld text preview","WeldShop","Meshy API text preview 019ff5a0-b0b0-70bc-9ef0-86ab1b04fd38","False","negative provenance only","REJECTED","REJECTED_DO_NOT_USE","PROHIBITED","0",,"SourceAssets/Candidate/WeldShop/BodyWeldFramingFixture_MeshyTextPreview_v001/summary_v001.json","SourceAssets/Candidate/WeldShop/BodyWeldFramingFixture_MeshyTextPreview_v001/AUDIT_VERDICT_v001.md","","Do not refine or import; it fused a finished car into a gantry and is superseded by the user-supplied Precision Assembly Frame family."
"LB_C2040_CHASSIS_FRAME_UNDERBODY_INTAKE_V001","Cairnwell 2040 lower underbody and transport skid","Vehicles/Cairnwell2040","Meshy Automotive Chassis Frame 08120647-48","True","lower stamped underbody/base kit carried on a separate skid-like base; not a complete BIW","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","NOT_IMPORTED","4","SourceAssets/Candidate/Vehicles/Cairnwell2040/ChassisFrameUnderbody_Intake_v001/Authority/BranchA_GenerateTexture/Meshy_AI_Automotive_Chassis_Fr_0812064832_texture.blend","SourceAssets/Candidate/Vehicles/Cairnwell2040/ChassisFrameUnderbody_Intake_v001/MANIFEST_v001.json","SourceAssets/Candidate/Vehicles/Cairnwell2040/ChassisFrameUnderbody_Intake_v001/Audit/CHASSIS_FRAME_UNDERBODY_AUDIT_v001.md","","Use 4813 only as a visual split reference: its 20 generic objects do not establish a verified semantic body-versus-skid split. Rebuild semantic underbody groups and a genuinely separate skid; both segmentation alternates fail lineage to the coherent generate/texture branch."
"LB_C2040_FINISHED_VEHICLE_VISUAL_INTAKE_V001","Cairnwell 2040 finished crossover visual","Vehicles/Cairnwell2040","Meshy Industrial automotive 08120609-14","True","complete finished crossover appearance reference; explicitly not a skid or BIW","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","NOT_IMPORTED","3","SourceAssets/Candidate/Vehicles/Cairnwell2040/FinishedVehicleVisual_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Industrial_automotive_0812061432_texture.blend","SourceAssets/Candidate/Vehicles/Cairnwell2040/FinishedVehicleVisual_Intake_v001/MANIFEST_v001.json","SourceAssets/Candidate/Vehicles/Cairnwell2040/FinishedVehicleVisual_Intake_v001/Audit/FINISHED_VEHICLE_VISUAL_AUDIT_v001.md","","Use only as completed-vehicle visual reference; rebuild semantic optimized vehicle modules if gameplay requires a finished car."
"LB_C2040_PANEL_RUNTIME_V001","Cairnwell 2040 exterior panel runtime set","Vehicles/Cairnwell2040","PanelRuntime_v001","False","separate WIP exterior closure/body panels","PASS","UNREAL_IMPORTED_CANDIDATE","FBX_REIMPORT_VALIDATED","0","SourceAssets/Candidate/Vehicles/Cairnwell2040/PanelRuntime_v001","SourceAssets/Candidate/Vehicles/Cairnwell2040/PanelRuntime_v001/MANIFEST_v001.json","SourceAssets/Candidate/Vehicles/Cairnwell2040/PanelRuntime_v001/Audit/FBX_REIMPORT_VALIDATION_v001.json","Content/LineBoss/Candidates/Vehicles/Cairnwell2040/PanelRuntime_v001","Fit and scale against approved lower-underbody and upper-BIW authorities."
"LB_CAIRNWELL_PRIMARY_BRAND_V001","Cairnwell primary brand authority","Brand","Cairnwell primary logo Candidate_v001","False","primary game/factory brand","PASS","CURATED_SOURCE_AUTHORITY","CONTENT_VARIANTS_PRESENT","0","SourceAssets/Brand/Cairnwell","SourceAssets/Brand/Cairnwell/cairnwell_primary_logo_candidate_v001_manifest.json",,"Content/LineBoss/Brand/Cairnwell","Keep logo variants and UI use tied to brand authority document."
"LB_COIL_AGV_CANDIDATE_V001","Coil-handling AGV","PressShop/MaterialHandling","IndustrialKit CoilAGV Candidate_v001","False","coil AGV chassis and lift deck","PASS","UNREAL_IMPORTED_CANDIDATE","CONTENT_PRESENT_CANDIDATE","0","SourceAssets/IndustrialKit/MaterialHandling/CoilAGV/Candidate_v001/LB_CoilAGV_Candidate_v001.blend","SourceAssets/IndustrialKit/MaterialHandling/CoilAGV/Candidate_v001/LB_CoilAGV_Candidate_v001_manifest.json",,"Content/LineBoss/IndustrialKit/MaterialHandling/CoilAGV/Candidate_v001","Retain rear-wheel-steering gameplay contract and complete packaged visual/handling validation."
"LB_COMPACT_FORKLIFT_AGV_V003","Compact FLT AGV","Logistics","CompactForkliftAGV","False","forklift AGV with modular mast","PASS","RUNTIME_CANDIDATE_NOT_IMPORTED","SOURCE_VALIDATED_UNREAL_UNVERIFIED","0","SourceAssets/Candidate/Logistics/CompactForkliftAGV/Working/CFAGV_ModularMast_v003.blend","SourceAssets/Candidate/Logistics/CompactForkliftAGV/Audit/implementation_manifest_v003.json","SourceAssets/Candidate/Logistics/CompactForkliftAGV/Audit/candidate_v003_inspection.json","","Unreal import and rear-wheel-steering/mast/fork gameplay validation."
"LB_CR01_CLEANING_AMR","CR01 cleaning AMR","SupportRobots","LB_CR01_CleaningAMR","False","autonomous factory cleaning robot","PASS","UNREAL_IMPORTED_CANDIDATE","MULTIPLE_CANDIDATES_CONTENT_PRESENT","0","SourceAssets/Robots/LB_CR01_CleaningAMR/Blender/Candidate_v059/LB_CR01_ScrubberSilhouetteCandidate_v059.blend","SourceAssets/Robots/LB_CR01_CleaningAMR/Validation/Candidate_v059/LB_CR01_UnrealChildStageManifest_v059.json","SourceAssets/Robots/LB_CR01_CleaningAMR/Validation/Candidate_v059/LB_CR01_UnrealChildStageManifest_v059.json","Content/LineBoss/Shared/SupportRobots/LB_CR01","Promote one explicit release authority and finish brighter full-body repaint/lighting validation."
"LB_ED_LINE_RUNTIME_V001_V002","ED treatment and curing line","PaintShop","EDLineRuntime_Candidate_v001","False","modular e-coat treatment and curing line","PASS","UNREAL_IMPORTED_CANDIDATE","RUNTIME_V001_AND_V002_CONTENT_PRESENT","0","SourceAssets/Candidate/PaintShop/EDLineRuntime_Candidate_v001","SourceAssets/Candidate/PaintShop/EDLineRuntime_Candidate_v001/modular_export_manifest_v001.json","SourceAssets/Candidate/PaintShop/EDLineAssembly/implementation_manifest.json","Content/LineBoss/Candidates/PaintShop/EDLine/Runtime_v001; Content/LineBoss/Candidates/PaintShop/EDLine/Runtime_v002","Resolve v001/v002 promotion authority and packaged process-flow validation."
