"asset_id","family","role","role_verdict","lifecycle_status","stage","original_path","intake_relative_path","bytes","sha256","best_authority","outstanding_action"
"LB_BODY_WELD_FRAMING_FIXTURE_INTAKE_V001","Cairnwell 2040 body-weld framing fixture","empty BIW framing and geometry welding fixture","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","generate","C:/Users/greg_/Downloads/Meshy_AI_Precision_Assembly_Fr_0812072702_generate.blend","SourceAssets/Candidate/WeldShop/BodyWeldFramingFixture_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Precision_Assembly_Fr_0812072702_generate.blend","148831826","46BF7D136B7F11F3538EFD9F9393766A0754F4B4475E73EF44BBBC9B8910053A","False","Modular optimized rebuild with approved scale, towers/clamps/slides/pivots, collision and placement envelope."
"LB_BODY_WELD_FRAMING_FIXTURE_INTAKE_V001","Cairnwell 2040 body-weld framing fixture","empty BIW framing and geometry welding fixture","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","part-segmentation","C:/Users/greg_/Downloads/Meshy_AI__0812072709_part-segmentation.blend","SourceAssets/Candidate/WeldShop/BodyWeldFramingFixture_Intake_v001/Authority/UnverifiedSegmentationBranch/Meshy_AI__0812072709_part-segmentation.blend","227553114","14DEDF5D65384268B246E3DCDD4B49CCE7B765F8E92650C8BBBE20AAC006E01D","False","Modular optimized rebuild with approved scale, towers/clamps/slides/pivots, collision and placement envelope."
"LB_BODY_WELD_FRAMING_FIXTURE_INTAKE_V001","Cairnwell 2040 body-weld framing fixture","empty BIW framing and geometry welding fixture","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","texture","C:/Users/greg_/Downloads/Meshy_AI_Precision_Assembly_Fr_0812072950_texture.blend","SourceAssets/Candidate/WeldShop/BodyWeldFramingFixture_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Precision_Assembly_Fr_0812072950_texture.blend","263113278","EA17E18A96E9C27E79488119AB59430862AD010B3450A1A6C9932C699BC4FEE6","True","Modular optimized rebuild with approved scale, towers/clamps/slides/pivots, collision and placement envelope."
"LB_C2040_CHASSIS_FRAME_UNDERBODY_INTAKE_V001","Cairnwell 2040 lower underbody and transport skid","lower stamped underbody/base kit carried on a separate skid-like base; not a complete BIW","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","generate","C:/Users/greg_/Downloads/Meshy_AI_Automotive_Chassis_Fr_0812064719_generate.blend","SourceAssets/Candidate/Vehicles/Cairnwell2040/ChassisFrameUnderbody_Intake_v001/Authority/BranchA_GenerateTexture/Meshy_AI_Automotive_Chassis_Fr_0812064719_generate.blend","154632407","C6570C6A5335D20FE56F1F4073CB1829A9392614C5D53047D3025CB041F5D281","False","Use 4813 only as a visual split reference: its 20 generic objects do not establish a verified semantic body-versus-skid split. Rebuild semantic underbody groups and a genuinely separate skid; both segmentation alternates fail lineage to the coherent generate/texture branch."
"LB_C2040_CHASSIS_FRAME_UNDERBODY_INTAKE_V001","Cairnwell 2040 lower underbody and transport skid","lower stamped underbody/base kit carried on a separate skid-like base; not a complete BIW","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","part-segmentation-alternate-a","C:/Users/greg_/Downloads/Meshy_AI__0812064711_part-segmentation.blend","SourceAssets/Candidate/Vehicles/Cairnwell2040/ChassisFrameUnderbody_Intake_v001/Authority/BranchB_Segmentation_4711/Meshy_AI__0812064711_part-segmentation.blend","234031425","1C037786B2382CEAC689A8A84F8BBF94D9B90B8DA34D5E07A5FD19D976A2AD2C","False","Use 4813 only as a visual split reference: its 20 generic objects do not establish a verified semantic body-versus-skid split. Rebuild semantic underbody groups and a genuinely separate skid; both segmentation alternates fail lineage to the coherent generate/texture branch."
"LB_C2040_CHASSIS_FRAME_UNDERBODY_INTAKE_V001","Cairnwell 2040 lower underbody and transport skid","lower stamped underbody/base kit carried on a separate skid-like base; not a complete BIW","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","part-segmentation-alternate-b","C:/Users/greg_/Downloads/Meshy_AI__0812064813_part-segmentation.blend","SourceAssets/Candidate/Vehicles/Cairnwell2040/ChassisFrameUnderbody_Intake_v001/Authority/BranchC_Segmentation_4813/Meshy_AI__0812064813_part-segmentation.blend","233593150","D11586ED5F885C8EA26E685FB5756DCEC2A57C3EBB51B6EA887699CF68177480","False","Use 4813 only as a visual split reference: its 20 generic objects do not establish a verified semantic body-versus-skid split. Rebuild semantic underbody groups and a genuinely separate skid; both segmentation alternates fail lineage to the coherent generate/texture branch."
"LB_C2040_CHASSIS_FRAME_UNDERBODY_INTAKE_V001","Cairnwell 2040 lower underbody and transport skid","lower stamped underbody/base kit carried on a separate skid-like base; not a complete BIW","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","texture","C:/Users/greg_/Downloads/Meshy_AI_Automotive_Chassis_Fr_0812064832_texture.blend","SourceAssets/Candidate/Vehicles/Cairnwell2040/ChassisFrameUnderbody_Intake_v001/Authority/BranchA_GenerateTexture/Meshy_AI_Automotive_Chassis_Fr_0812064832_texture.blend","273701815","D6F6668A8460457E4AC3D3B89E994A8E4FB003E46B5CB9EF6DE4B2B95D101D29","True","Use 4813 only as a visual split reference: its 20 generic objects do not establish a verified semantic body-versus-skid split. Rebuild semantic underbody groups and a genuinely separate skid; both segmentation alternates fail lineage to the coherent generate/texture branch."
"LB_C2040_FINISHED_VEHICLE_VISUAL_INTAKE_V001","Cairnwell 2040 finished crossover visual","complete finished crossover appearance reference; explicitly not a skid or BIW","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","generate","C:/Users/greg_/Downloads/Meshy_AI_Industrial_automotive_0812060952_generate.blend","SourceAssets/Candidate/Vehicles/Cairnwell2040/FinishedVehicleVisual_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Industrial_automotive_0812060952_generate.blend","99311792","D08EB1DF7F43B26B087E1BA7D4D15BA094F56FAE8B029F385A41FFAE7CE83BAE","False","Use only as completed-vehicle visual reference; rebuild semantic optimized vehicle modules if gameplay requires a finished car."
"LB_C2040_FINISHED_VEHICLE_VISUAL_INTAKE_V001","Cairnwell 2040 finished crossover visual","complete finished crossover appearance reference; explicitly not a skid or BIW","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","part-segmentation","C:/Users/greg_/Downloads/Meshy_AI__0812061425_part-segmentation.blend","SourceAssets/Candidate/Vehicles/Cairnwell2040/FinishedVehicleVisual_Intake_v001/Authority/UnverifiedSegmentationBranch/Meshy_AI__0812061425_part-segmentation.blend","155645465","8C98C2362A092BAA874F6FF695496167A7264244A9C539AAA38040508D0EB422","False","Use only as completed-vehicle visual reference; rebuild semantic optimized vehicle modules if gameplay requires a finished car."
"LB_C2040_FINISHED_VEHICLE_VISUAL_INTAKE_V001","Cairnwell 2040 finished crossover visual","complete finished crossover appearance reference; explicitly not a skid or BIW","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","texture","C:/Users/greg_/Downloads/Meshy_AI_Industrial_automotive_0812061432_texture.blend","SourceAssets/Candidate/Vehicles/Cairnwell2040/FinishedVehicleVisual_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Industrial_automotive_0812061432_texture.blend","178161842","8D7657CDD92C85CD734D42BCA468E4C32E7C95B415489727022FFF00CC3D5C5A","True","Use only as completed-vehicle visual reference; rebuild semantic optimized vehicle modules if gameplay requires a finished car."
